timestamp,latency_sum,latency_count,latency_p95,latency_p99,error_rate,error_count,active_requests,memory_bytes,heap_used_bytes,heap_total_bytes,cpu_usage,event_loop_lag_sec,avg_latency_ms,heap_utilization,memory_growth_rate,cpu_x_latency,latency_spike,memory_leak_flag,service,fault_type,is_anomaly
2026-03-11 20:03:10,9169,1488,9.349999999999998,35.24999999999999,0,1,1,12062720,15247728,16855040,0.0032847457627117,0.0063764,6.161962365591398,0.9046390871810449,,0.02024047977036531,0,0,order-service,normal,0
2026-03-11 20:03:15,9175,1489,9.390625,35.24999999999999,0,1,1,12095488,15545656,16855040,0.00344406779661,0.0053207,6.161853593015446,0.922314987089915,,0.02122184152713012,0,1,order-service,normal,0
2026-03-11 20:03:20,9181,1490,9.390625,35.24999999999999,0,1,1,12013568,14931224,16855040,0.0035491525423727,0.0057484,6.161744966442953,0.8858610836877279,,0.021868972813103193,0,0,order-service,normal,0
2026-03-11 20:03:25,9187,1491,9.426470588235292,35.24999999999999,0,1,1,11956224,15229136,16855040,0.0034949152542371,0.0059491,6.161636485580147,0.9035360343256379,,0.021534397344517932,0,0,order-service,normal,0
2026-03-11 20:03:30,9190,1492,9.426470588235292,35.24999999999999,0,1,1,11997184,15526592,16855040,0.0035999999999998,0.0035602,6.159517426273458,0.9211839307411908,,0.022174262734583217,0,0,order-service,normal,0
2026-03-11 20:03:35,9195,1493,9.426470588235292,35.24999999999999,0,1,1,11530240,14938872,16855040,0.0035457627118642,0.0057788,6.15874079035499,0.8863148352065614,,0.021837433446477778,0,0,order-service,normal,0
2026-03-11 20:03:40,9201,1494,9.426470588235292,35.24999999999999,0,1,1,10973184,15236672,16855040,0.0034983050847456,0.0056006,6.158634538152611,0.9039831409477521,,0.02154478251990915,0,0,order-service,normal,0
2026-03-11 20:03:45,9206,1495,9.426470588235292,35.24999999999999,0,1,1,9715712,15533088,16855040,0.0036033898305083,0.0053145,6.1578595317725755,0.9215693347509113,,0.0221891684144879,0,0,order-service,normal,0
2026-03-11 20:03:50,9211,1496,9.426470588235295,35.25000000000014,0,1,1,10874880,14966544,16855040,0.0034982576507435,0.0044534,6.157085561497326,0.8879565993317132,,0.021539071671790363,0,0,order-service,normal,0
2026-03-11 20:03:55,9223,1497,9.720588235294116,35.249999999999986,0,1,1,10768384,15263792,16855040,0.0035489600564035,0.0126304,6.160988643954576,0.9055921552247873,,0.02186510260535035,0,0,order-service,normal,0
2026-03-11 20:04:00,9240,1498,10.374999999999934,35.24999999999999,0,1,1,9682944,15561152,16855040,0.0033864406779659,0.0161354,6.168224299065421,0.9232343560145808,,0.02088832567717284,0,0,order-service,normal,0
2026-03-11 20:04:05,9243,1499,10.374999999999934,35.24999999999999,0,1,1,10817536,14952880,16855040,0.0033355932203388,0.0027723,6.166110740493663,0.8871459219319563,,0.02056763718184892,0,0,order-service,normal,0
2026-03-11 20:04:10,9247,1500,10.374999999999934,35.24999999999999,0,1,1,9494528,15250088,16855040,0.0033355932203388,0.0039369,6.164666666666666,0.9047791046476307,,0.02056282033898192,0,0,order-service,normal,0
2026-03-11 20:04:15,9252,1501,10.374999999999934,35.24999999999999,0,1,1,7983104,15547216,16855040,0.0033898305084744,0.0052097,6.1638907395069955,0.9224075410085054,,0.020894544879683643,0,0,order-service,normal,0
2026-03-11 20:04:20,9268,1502,15.24999999999997,35.24999999999999,0,1,1,10436608,14981696,16855040,0.0033355932203388,0.0164401,6.170439414114514,0.8888555589307412,,0.020582075876231693,0,0,order-service,normal,0
2026-03-11 20:04:25,9273,1503,15.24999999999997,35.24999999999999,0,1,1,10805248,15279752,16855040,0.0033898305084744,0.0051226,6.169660678642715,0.9065390530072904,,0.020914103995397948,0,0,order-service,normal,0
2026-03-11 20:04:30,9281,1504,15.24999999999997,35.24999999999999,0,1,1,10878976,15577672,16855040,0.0034949152542371,0.0071947,6.170877659574468,0.9242144782806805,,0.021566694464477742,0,0,order-service,normal,0
2026-03-11 20:04:35,9299,1505,17.687499999999982,35.24999999999999,0,1,1,11276288,14969216,16855040,0.0032847457627116,0.0179399,6.178737541528239,0.888115127582017,,0.02029558195844197,0,0,order-service,normal,0
